     |  1 1 |      |      |  4 2 |  5 1 |  6 1 |  7 1 |      |      |  5 |  0 | 14567
 0 2 |  1 2 |      |      |  4 1 |      |      |      |      |  9 1 |  4 |  2 | 0149
     |      |  2 1 |  3 1 |  4 1 |  5 1 |      |      |      |  9 2 |  5 |  2 | 23459
     |      |  2 1 |      |  4 1 |      |  6 1 |  7 1 |  8 1 |  9 1 |  6 |  3 | 246789
     |      |      |  3 2 |  4 1 |  5 2 |      |  7 1 |      |      |  4 |  2 | 3457
     |      |  2 2 |  3 1 |      |      |      |      |  8 1 |  9 2 |  4 |  1 | 2389
     |  1 1 |      |  3 1 |  4 2 |      |      |  7 1 |      |  9 1 |  5 |  2 | 13479
 0 1 |  1 1 |      |  3 1 |  4 1 |      |      |  7 1 |  8 1 |      |  6 |  4 | 013478
 0 1 |  1 2 |  2 2 |      |  4 1 |      |      |      |      |      |  4 |  3 | 0124
     |  1 1 |      |  3 1 |  4 1 |  5 1 |  6 1 |  7 1 |      |      |  6 |  2 | 134567
     |      |  2 1 |  3 1 |  4 2 |  5 1 |      |      |      |  9 1 |  5 |  3 | 23459
 0 1 |      |      |  3 1 |  4 1 |      |  6 1 |  7 1 |      |  9 1 |  6 |  3 | 034679
     |  1 1 |      |      |  4 2 |  5 1 |  6 1 |      |  8 1 |      |  5 |  2 | 14568
 0 2 |      |  2 2 |  3 1 |  4 1 |      |      |      |      |      |  4 |  1 | 0234
     |  1 1 |      |  3 1 |      |  5 2 |      |  7 1 |      |  9 1 |  5 |  1 | 13579
     |  1 1 |      |  3 1 |  4 2 |  5 1 |      |  7 1 |      |      |  5 |  4 | 13457
     |  1 1 |      |  3 1 |  4 1 |      |  6 2 |  7 1 |      |      |  5 |  4 | 13467
 0 1 |      |  2 2 |      |      |      |  6 2 |  7 1 |      |      |  4 |  2 | 0267
 0 1 |      |      |      |      |      |  6 1 |  7 1 |  8 1 |  9 2 |  5 |  3 | 06789
     |      |      |  3 3 |  4 1 |  5 1 |      |  7 1 |      |      |  4 |  1 | 3457
 0 1 |      |      |      |  4 1 |  5 1 |  6 1 |  7 1 |  8 1 |      |  6 |  3 | 045678
     |  1 3 |      |      |      |      |      |  7 2 |  8 1 |      |  3 |  2 | 178
     |      |  2 1 |      |  4 1 |  5 1 |      |      |  8 1 |  9 2 |  5 |  1 | 24589
     |  1 2 |      |      |  4 1 |  5 1 |  6 1 |  7 1 |      |      |  5 |  2 | 14567
     |      |      |      |  4 1 |  5 1 |      |  7 1 |  8 2 |  9 1 |  5 |  3 | 45789
 0 2 |      |  2 2 |  3 1 |      |      |  6 1 |      |      |      |  4 |  0 | 0236
     |  1 1 |  2 1 |  3 1 |      |      |  6 1 |  7 1 |  8 1 |      |  6 |  3 | 123678
     |      |  2 1 |  3 1 |      |      |  6 1 |  7 1 |  8 1 |  9 1 |  6 |  5 | 236789
 0 1 |      |      |  3 2 |      |  5 1 |  6 1 |      |      |  9 1 |  5 |  3 | 03569
 0 1 |  1 1 |      |  3 1 |  4 1 |      |  6 2 |      |      |      |  5 |  3 | 01346
 0 1 |      |  2 2 |  3 1 |      |      |      |  7 1 |  8 1 |      |  5 |  2 | 02378
